ID,ParamKonsumsiIkan,Tahun,Nilai,Satuan
1,Penyediaan ikan untuk konsumsi (total),2008,7071.93,1000 Ton
2,Penyediaan ikan untuk konsumsi per kapita,2008,30.95,Kg/Kapita/Tahun
3,Konsumsi ikan per kapita,2008,28,Kg/Kapita/Tahun
4,Ketersediaan Kalori per kapita dari ikan,2008,53,Kkal/kapita/hari
5,Ketersediaan Protein per kapita dari ikan,2008,9.53,gram/kapita/hari
6,Ketersediaan Lemak per kapita dari ikan,2008,1.19,gram/kapita/hari
7,Penyediaan ikan untuk konsumsi (total),2009,7754,1000 Ton
8,Penyediaan ikan untuk konsumsi per kapita,2009,33.51,Kg/Kapita/Tahun
9,Konsumsi ikan per kapita,2009,29.08,Kg/Kapita/Tahun
10,Ketersediaan Kalori per kapita dari ikan,2009,58,Kkal/kapita/hari
11,Ketersediaan Protein per kapita dari ikan,2009,10.3,gram/kapita/hari
12,Ketersediaan Lemak per kapita dari ikan,2009,1.31,gram/kapita/hari
13,Penyediaan ikan untuk konsumsi (total),2010,9119,1000 Ton
14,Penyediaan ikan untuk konsumsi per kapita,2010,38.39,Kg/Kapita/Tahun
15,Konsumsi ikan per kapita,2010,30.48,Kg/Kapita/Tahun
16,Ketersediaan Kalori per kapita dari ikan,2010,66,Kkal/kapita/hari
17,Ketersediaan Protein per kapita dari ikan,2010,11.65,gram/kapita/hari
18,Ketersediaan Lemak per kapita dari ikan,2010,1.53,gram/kapita/hari
19,Penyediaan ikan untuk konsumsi (total),2011,10282,1000 Ton
20,Penyediaan ikan untuk konsumsi per kapita,2011,41.95,Kg/Kapita/Tahun
21,Konsumsi ikan per kapita,2011,32.25,Kg/Kapita/Tahun
22,Ketersediaan Kalori per kapita dari ikan,2011,71,Kkal/kapita/hari
23,Ketersediaan Protein per kapita dari ikan,2011,12.57,gram/kapita/hari
24,Ketersediaan Lemak per kapita dari ikan,2011,1.68,gram/kapita/hari
25,Penyediaan ikan untuk konsumsi (total),2012,11589,1000 Ton
26,Penyediaan ikan untuk konsumsi per kapita,2012,46.31,Kg/Kapita/Tahun
27,Konsumsi ikan per kapita,2012,33.89,Kg/Kapita/Tahun
28,Ketersediaan Kalori per kapita dari ikan,2012,78,Kkal/kapita/hari
29,Ketersediaan Protein per kapita dari ikan,2012,13.73,gram/kapita/hari
30,Ketersediaan Lemak per kapita dari ikan,2012,1.88,gram/kapita/hari